CanonicalId,OntologyType,SourceId,SourceSystem
gbkfe3kz,Image,b21922093/FILE_0579_OBJECTS,mets-image
n5744xcx,Image,b20403306/FILE_0082_OBJECTS,mets-image
gvcgj4rd,Image,b1670616x/FILE_0257_OBJECTS,mets-image
vy5kfhvn,Image,b21017463/FILE_0268_OBJECTS,mets-image
b8da97rx,Image,b29717589/FILE_0020_OBJECTS,mets-image
jktk6ynt,Image,b21496511/FILE_0198_OBJECTS,mets-image
ba7xwxzu,Image,b24944452/FILE_0036_OBJECTS,mets-image
k7vvjc5t,Image,b21359842/FILE_0139_OBJECTS,mets-image
xza2n2tj,Image,b21078439/FILE_0116_OBJECTS,mets-image
q342kszu,Image,b30530416/FILE_0191_OBJECTS,mets-image
k5eavtps,Image,b21015545/FILE_0414_OBJECTS,mets-image
uu3sx679,Work,b33310944,sierra-system-number
kzjv36qt,Image,b21697073/FILE_0554_OBJECTS,mets-image
jskq5nf8,Item,i11759586,sierra-system-number
crd5yybr,Image,b18387287/FILE_0563_OBJECTS,mets-image
w8qdqzv3,Image,b28651212/FILE_0040_OBJECTS,mets-image
zyuj7sqc,Work,b1842399,sierra-system-number
mspbnwmg,Image,b21523149/FILE_0077_OBJECTS,mets-image
hkj7s7mk,Image,b21167291/FILE_0337_OBJECTS,mets-image
z7s3szte,Image,b21293648/FILE_0152_OBJECTS,mets-image
qfycdf9j,Image,b19333651/FILE_0031_OBJECTS,mets-image
m72eemq3,Image,b30112357/FILE_0023_OBJECTS,mets-image
gh59bfe7,Image,b28934246/FILE_0002_OBJECTS,mets-image
t5r2xsku,Image,b30545328/FILE_0009_OBJECTS,mets-image
qhm3ma9n,Image,b21048721/FILE_0245_OBJECTS,mets-image
x9pz5qe5,Image,b29342284/FILE_0217_OBJECTS,mets-image
djwwxffd,Image,b21034394/FILE_0278_OBJECTS,mets-image
yq2y6gtr,Image,V0048073,miro-image-number
v2jbk7aq,Image,b21043875/FILE_0094_OBJECTS,mets-image
e9sz48tq,Image,b20391778/FILE_0048_OBJECTS,mets-image
kzaypz6y,Image,b28989454/FILE_0124_OBJECTS,mets-image
j4bn8kx9,Work,MS292/298,calm-ref-no
bgp22c54,Image,b33092953/FILE_0402_OBJECTS,mets-image
kqfnset6,Image,b19394901/FILE_0260_OBJECTS,mets-image
tewjubdw,Work,SB/1/1/342,calm-ref-no
a9bewaen,Image,b20999392/FILE_0831_OBJECTS,mets-image
fcs2bdz9,Image,b28134394/FILE_0626_OBJECTS,mets-image
vvdwnzqq,Image,b18723603/FILE_0149_OBJECTS,mets-image
jecamhe6,Image,b30094951/FILE_0381_OBJECTS,mets-image
xpfs8rjg,Image,b18032497/FILE_0253_OBJECTS,mets-image
kdz69mdt,Item,b24643312,sierra-system-number
t5ewv9wg,Work,b24072515,sierra-system-number
b2gfjreq,Image,b2029461x/FILE_0463_OBJECTS,mets-image
nx5jtzsx,Image,b20390038/FILE_0512_OBJECTS,mets-image
cm97u25n,Image,b21441625/FILE_0209_OBJECTS,mets-image
bb524azm,Work,1506919,sierra-system-number
u5c6ra5z,Image,b21205310/FILE_0511_OBJECTS,mets-image
m2bxkwgc,Image,b30066876/FILE_0020_OBJECTS,mets-image
cwy3tpe7,Image,b28714222/FILE_0103_OBJECTS,mets-image
ksw82gga,Image,b18035140/FILE_0132_OBJECTS,mets-image
srgdf8dh,Image,b29103770/FILE_0012_OBJECTS,mets-image
k677gdgq,Image,b19774436/FILE_0051_OBJECTS,mets-image
c38t9njb,Item,i13639705,sierra-system-number
mfdu9bzj,Item,b29720308,sierra-system-number
fw7x6sdk,Work,1172883,sierra-system-number
p64wnkbf,Image,b24872441/FILE_0447_OBJECTS,mets-image
f4gc5d6p,Concept,"department of animal genetics, research film unit, edinburgh university,",label-derived
jmqfz3bc,Image,b29318476/FILE_0189_OBJECTS,mets-image
ew8z9c37,Image,b30455583/FILE_0170_OBJECTS,mets-image
qu4ktgmw,Image,b28097415/FILE_0031_OBJECTS,mets-image
jj55683n,Image,b21303149/FILE_0004_OBJECTS,mets-image
rdsdx553,Image,b32991964/FILE_0112_OBJECTS,mets-image
pgxf8zg9,Image,b19922516/FILE_0007_OBJECTS,mets-image
rrmcfvuq,Image,b21211504/FILE_0886_OBJECTS,mets-image
asn8vzgf,Image,b19773535/FILE_0037_OBJECTS,mets-image
ptd7rzet,Image,b28103828/FILE_0331_OBJECTS,mets-image
hmzstu2p,Image,b30091512/FILE_0060_OBJECTS,mets-image
nc3vuzs7,Image,b2020243x/FILE_0054_OBJECTS,mets-image
uvqafsrs,Work,1681908,sierra-system-number
tr77sv3u,Image,b29529724/FILE_0007_OBJECTS,mets-image
t9h8ah6a,Image,b32219325/FILE_0190_OBJECTS,mets-image
en345jaj,Image,b21301487/FILE_0352_OBJECTS,mets-image
qsw48ts9,Image,b28117220/FILE_0038_OBJECTS,mets-image
qjxx2kt9,Image,b21449284/FILE_0053_OBJECTS,mets-image
ynndk7q8,Image,b21297216/FILE_0326_OBJECTS,mets-image
n5xwcurr,Image,b22423771/FILE_0022_OBJECTS,mets-image
